,a,b,c
0,2.86,-1369.9126805574465,-0.0
1,5.07,-47.515872875614,-0.0
2,7.43,-580.30107925835,-0.0
3,9.74,-834.1858283588934,-0.0
4,12.08,-1593.3789057258925,-0.0
5,14.08,-11328.929471635682,-0.0
6,16.41,-3866.886048373621,-0.0
7,18.740000000000002,-469.62756247408686,-0.0
8,20.740000000000002,-460.5232401825261,-0.0
9,22.740000000000002,-541.2824651115744,-0.0
10,24.75,-471.9486701315511,-0.0
11,26.77,-746.5187917964304,-0.0
12,29.09,-927.9954942668168,-0.0
13,31.09,-1099.9183765102625,-0.0
14,33.61,-784.9045251006336,-0.0
15,35.81,-734.3030717391864,-0.0
16,38.1,-554.8464895554957,-0.0
17,40.26,-318.1030167775547,-0.0
18,42.26,-212.18159610797412,-0.0
19,44.29,-127.75078126991896,-0.0
20,46.300000000000004,-113.44683465744764,-0.0
21,48.6,-115.11803828058436,-0.0
22,50.95,-115.7525135972705,-0.0
23,53.29,-114.8604475233257,-0.0
24,55.34,-110.71137619157288,-0.0
25,57.64,-103.87129431633323,-0.0
26,60.02,-99.53394401743269,-0.0
27,62.27,-92.04202546067387,-0.0
28,64.27,-92.04435291555252,-0.0
29,66.3,-87.55332459697964,-0.0
30,68.63,-80.37779124397798,-0.0
31,70.63,-59.74034482369439,-0.0
32,72.63,-54.25490964033826,-0.0
33,74.97,-69.15619145377634,-0.0
34,77.29,-92.79125707383676,-0.0
35,79.31,-98.22188581983231,-0.0
36,81.72,-101.88746926491028,-0.0
37,83.99,-157.27184546547662,-0.0
38,86.36,-182.98672826692302,-0.0
39,88.62,-490.6081257629853,-0.0
40,90.64,-1078.5639477719556,-0.0
41,92.98,-377.66773139607665,-0.0
42,95.0,-180.85697221925972,-0.0
43,97.31,-215.03140847108028,-0.0
