,a,b,c
0,0.0,2.86,271871.9099446926
1,0.0,5.07,151005.02868400433
2,0.0,7.43,229520.31540294152
3,0.0,9.74,462183.9596057398
4,0.0,12.08,3068974.7360043507
5,0.0,14.08,5198425.194714152
6,0.0,16.41,1677267.3041638178
7,0.0,18.740000000000002,211462.34963775025
8,0.0,20.740000000000002,195009.18902294413
9,0.0,22.740000000000002,230648.13817636127
10,0.0,24.75,210769.81096961847
11,0.0,26.77,354715.93485631055
12,0.0,29.09,460080.34072454117
13,0.0,31.09,451054.3966133451
14,0.0,33.61,369867.3652871325
15,0.0,35.81,330243.88584316155
16,0.0,38.1,263727.56958342186
17,0.0,40.26,159852.3049508016
18,0.0,42.26,108574.21808383515
19,0.0,44.29,66402.49470419293
20,0.0,46.300000000000004,58285.606948407854
21,0.0,48.6,54036.853186393324
22,0.0,50.95,51994.390260277374
23,0.0,53.29,51844.65260654274
24,0.0,55.34,48983.887867438716
25,0.0,57.64,45772.69255991596
26,0.0,60.02,45157.12329166095
27,0.0,62.27,40465.080349637974
28,0.0,64.27,38221.25507505187
29,0.0,66.3,34505.48151628069
30,0.0,68.63,32290.789041500884
31,0.0,70.63,29986.28176001033
32,0.0,72.63,31049.23993835776
33,0.0,74.97,34020.95389924876
34,0.0,77.29,54037.73716247185
35,0.0,79.31,56503.711449027454
36,0.0,81.72,59877.64983448774
37,0.0,83.99,87827.49657473581
38,0.0,86.36,123945.25110574362
39,0.0,88.62,239736.2018519881
40,0.0,90.64,385782.62867758033
41,0.0,92.98,134170.08019709785
42,0.0,95.0,66404.87456495031
43,0.0,97.31,59524.6530891185
