,a,b,c
0,0.0,1465946.1176258947,2.86
1,0.0,493859.2350351488,5.07
2,0.0,399648.2057098192,7.43
3,0.0,409764.0327723514,9.74
4,-0.0,-279611.2812200922,12.08
5,0.0,344177.27372548665,14.08
6,-0.0,-193767.1227481824,16.41
7,-0.0,-8294.916519653367,18.740000000000002
8,-0.0,-40.689258105519436,20.740000000000002
9,-0.0,3903.31272093536,22.740000000000002
10,-0.0,22424.9027765983,24.75
11,-0.0,20623.530389955507,26.77
12,-0.0,-11191.539164879134,29.09
13,-0.0,-10866.110038323324,31.09
14,-0.0,-11005.967211327797,33.61
15,-0.0,21529.009253103726,35.81
16,-0.0,35949.53032622272,38.1
17,0.0,46137.39401341958,40.26
18,0.0,42860.09624800772,42.26
19,0.0,35954.58075630287,44.29
20,0.0,40508.11374991418,46.300000000000004
21,0.0,46497.7176014462,48.6
22,0.0,49668.33217691028,50.95
23,0.0,51445.99534496229,53.29
24,0.0,54249.545532487486,55.34
25,0.0,53695.836266603284,57.64
26,0.0,59804.96483890256,60.02
27,0.0,58202.55989458652,62.27
28,0.0,62682.32814988254,64.27
29,0.0,61493.36222389152,66.3
30,0.0,62570.10576739769,68.63
31,0.0,60135.206951836975,70.63
32,0.0,47619.7844517685,72.63
33,0.0,44489.47692383195,74.97
34,0.0,50208.708729448656,77.29
35,0.0,45769.07587815414,79.31
36,0.0,34827.047453002655,81.72
37,0.0,24400.907613927287,83.99
38,-0.0,12472.008928529925,86.36
39,-0.0,-3838.117968245084,88.62
40,0.0,103627.26676253497,90.64
41,0.0,90542.43670895859,92.98
42,0.0,47067.89827612853,95.0
43,0.0,44158.236297678515,97.31
